Date,Open,High,Low,Close,Adj Close,Volume
2024-03-11,100.44,100.44,100.43,100.44,93.65,3238400
2024-03-08,100.43,100.43,100.41,100.42,93.63,3748900
2024-03-07,100.41,100.41,100.40,100.41,93.62,2415500
2024-03-06,100.36,100.37,100.35,100.36,93.58,2760000
2024-03-05,100.34,100.35,100.34,100.34,93.56,3905300
2024-03-04,100.33,100.34,100.33,100.33,93.55,3613500
2024-03-01,100.32,100.32,100.31,100.32,93.54,7579200
2024-02-29,100.70,100.71,100.70,100.70,93.51,5560200
2024-02-28,100.66,100.67,100.66,100.67,93.48,4526200
2024-02-27,100.66,100.66,100.65,100.66,93.47,2360300
2024-02-26,100.64,100.65,100.64,100.64,93.46,2645100
2024-02-23,100.63,100.63,100.62,100.63,93.45,2010100
2024-02-22,100.60,100.61,100.60,100.60,93.42,2452200
2024-02-21,100.57,100.58,100.56,100.56,93.38,2302700
2024-02-20,100.55,100.56,100.54,100.55,93.37,3268600
2024-02-16,100.54,100.54,100.53,100.53,93.35,2920700
2024-02-15,100.53,100.53,100.52,100.52,93.34,2577800
2024-02-14,100.47,100.47,100.46,100.47,93.30,2614100
2024-02-13,100.45,100.45,100.44,100.45,93.28,3009000
2024-02-12,100.44,100.45,100.43,100.43,93.26,2792700
2024-02-09,100.42,100.43,100.42,100.43,93.26,3232500
2024-02-08,100.40,100.42,100.40,100.40,93.23,3838700
2024-02-07,100.37,100.37,100.36,100.37,93.21,2621200
2024-02-06,100.35,100.36,100.34,100.35,93.19,2167300
2024-02-05,100.34,100.34,100.33,100.34,93.18,3969400
2024-02-02,100.32,100.32,100.31,100.32,93.16,3864800
2024-02-01,100.32,100.32,100.31,100.31,93.15,7038600
2024-01-31,100.71,100.72,100.71,100.71,93.10,5171300
2024-01-30,100.70,100.71,100.70,100.71,93.10,3741000
2024-01-29,100.69,100.70,100.68,100.68,93.07,2914400
2024-01-26,100.68,100.68,100.67,100.67,93.06,2059100
2024-01-25,100.65,100.67,100.65,100.67,93.06,2426000
2024-01-24,100.61,100.62,100.61,100.62,93.01,3441600
2024-01-23,100.60,100.61,100.60,100.61,93.00,2066200
2024-01-22,100.60,100.60,100.58,100.59,92.98,4307000
2024-01-19,100.57,100.58,100.56,100.58,92.98,3630100
2024-01-18,100.56,100.56,100.55,100.55,92.95,2672000
2024-01-17,100.52,100.52,100.51,100.51,92.91,2317700
2024-01-16,100.51,100.51,100.50,100.50,92.90,2713000
2024-01-12,100.48,100.49,100.48,100.49,92.89,2557900
2024-01-11,100.46,100.48,100.46,100.48,92.88,3164900
2024-01-10,100.42,100.42,100.41,100.42,92.83,1961400
2024-01-09,100.40,100.40,100.39,100.40,92.81,2419800
2024-01-08,100.39,100.39,100.38,100.39,92.80,2867500
2024-01-05,100.36,100.37,100.36,100.36,92.77,3491200
2024-01-04,100.35,100.36,100.35,100.35,92.76,2794100
2024-01-03,100.30,100.32,100.30,100.30,92.72,4597300
2024-01-02,100.29,100.30,100.28,100.29,92.71,5286200
